b0,f_V,dt_excess_Myr,destroyed
0.18,0.312,0.0,1.0
0.182,0.312,0.0,1.0
0.184,0.312,0.0,1.0
0.186,0.312,0.0,1.0
0.188,0.312,0.0,1.0
0.19,0.312,0.0,1.0
0.192,0.312,0.0,1.0
0.194,0.312,0.0,1.0
0.196,0.312,0.0,1.0
0.198,0.312,0.0,1.0
0.2,0.312,0.0,1.0
0.0,0.318,-0.0,1.0
0.002,0.318,0.0,1.0
0.004,0.318,0.0,1.0
0.006,0.318,0.0,1.0
0.008,0.318,0.0,1.0
0.01,0.318,0.0,1.0
0.012,0.318,0.0,1.0
0.014,0.318,0.0,1.0
0.016,0.318,0.0,1.0
0.018000000000000002,0.318,0.0,1.0
0.02,0.318,0.0,1.0
0.022,0.318,0.0,1.0
0.024,0.318,0.0,1.0
0.026000000000000002,0.318,0.0,1.0
0.028,0.318,0.0,1.0
0.03,0.318,0.0,1.0
0.032,0.318,0.0,1.0
0.034,0.318,0.0,1.0
0.036000000000000004,0.318,0.0,1.0
0.038,0.318,0.0,1.0
0.04,0.318,0.0,1.0
0.042,0.318,0.0,1.0
0.044,0.318,0.0,1.0
0.046,0.318,0.0,1.0
0.048,0.318,0.0,1.0
0.05,0.318,0.0,1.0
0.052000000000000005,0.318,0.0,1.0
0.054,0.318,0.0,1.0
0.056,0.318,0.0,1.0
0.058,0.318,0.0,1.0
0.06,0.318,0.0,1.0
0.062,0.318,0.0,1.0
0.064,0.318,0.0,1.0
0.066,0.318,0.0,1.0
0.068,0.318,0.0,1.0
0.07,0.318,0.0,1.0
0.07200000000000001,0.318,0.0,1.0
0.074,0.318,0.0,1.0
0.076,0.318,0.0,1.0
0.078,0.318,0.0,1.0
0.08,0.318,0.0,1.0
0.082,0.318,0.0,1.0
0.084,0.318,0.0,1.0
0.08600000000000001,0.318,0.0,1.0
0.088,0.318,0.0,1.0
0.09,0.318,0.0,1.0
0.092,0.318,0.0,1.0
0.094,0.318,0.0,1.0
0.096,0.318,0.0,1.0
0.098,0.318,0.0,1.0
0.1,0.318,0.0,1.0
0.10200000000000001,0.318,0.0,1.0
0.10400000000000001,0.318,0.0,1.0
0.106,0.318,0.0,1.0
0.108,0.318,0.0,1.0
0.11,0.318,0.0,1.0
0.112,0.318,0.0,1.0
0.114,0.318,0.0,1.0
0.116,0.318,0.0,1.0
0.11800000000000001,0.318,0.0,1.0
0.12,0.318,0.0,1.0
0.122,0.318,0.0,1.0
0.124,0.318,0.0,1.0
0.126,0.318,0.0,1.0
0.128,0.318,0.0,1.0
0.13,0.318,0.0,1.0
0.132,0.318,0.0,1.0
0.134,0.318,0.0,1.0
0.136,0.318,0.0,1.0
0.138,0.318,0.0,1.0
0.14,0.318,0.0,1.0
0.14200000000000002,0.318,0.0,1.0
0.14400000000000002,0.318,0.0,1.0
0.146,0.318,0.0,1.0
0.148,0.318,0.0,1.0
0.15,0.318,0.0,1.0
0.152,0.318,0.0,1.0
0.154,0.318,0.0,1.0
0.156,0.318,0.0,1.0
0.158,0.318,0.0,1.0
0.16,0.318,0.0,1.0
0.162,0.318,0.0,1.0
0.164,0.318,0.0,1.0
0.166,0.318,0.0,1.0
0.168,0.318,0.0,1.0
0.17,0.318,0.0,1.0
0.17200000000000001,0.318,0.0,1.0
0.17400000000000002,0.318,0.0,1.0
0.176,0.318,0.0,1.0
0.178,0.318,0.0,1.0
0.18,0.318,0.0,1.0
0.182,0.318,0.0,1.0
0.184,0.318,0.0,1.0
0.186,0.318,0.0,1.0
0.188,0.318,0.0,1.0
0.19,0.318,0.0,1.0
0.192,0.318,0.0,1.0
0.194,0.318,0.0,1.0
0.196,0.318,0.0,1.0
0.198,0.318,0.0,1.0
0.2,0.318,0.0,1.0
0.0,0.324,-0.0,1.0
0.002,0.324,0.0,1.0
0.004,0.324,0.0,1.0
0.006,0.324,0.0,1.0
0.008,0.324,0.0,1.0
0.01,0.324,0.0,1.0
0.012,0.324,0.0,1.0
0.014,0.324,0.0,1.0
0.016,0.324,0.0,1.0
0.018000000000000002,0.324,0.0,1.0
0.02,0.324,0.0,1.0
0.022,0.324,0.0,1.0
0.024,0.324,0.0,1.0
0.026000000000000002,0.324,0.0,1.0
0.028,0.324,0.0,1.0
0.03,0.324,0.0,1.0
0.032,0.324,0.0,1.0
0.034,0.324,0.0,1.0
0.036000000000000004,0.324,0.0,1.0
0.038,0.324,0.0,1.0
0.04,0.324,0.0,1.0
0.042,0.324,0.0,1.0
0.044,0.324,0.0,1.0
0.046,0.324,0.0,1.0
0.048,0.324,0.0,1.0
0.05,0.324,0.0,1.0
0.052000000000000005,0.324,0.0,1.0
0.054,0.324,0.0,1.0
0.056,0.324,0.0,1.0
0.058,0.324,0.0,1.0
0.06,0.324,0.0,1.0
0.062,0.324,0.0,1.0
0.064,0.324,0.0,1.0
0.066,0.324,0.0,1.0
0.068,0.324,0.0,1.0
0.07,0.324,0.0,1.0
0.07200000000000001,0.324,0.0,1.0
0.074,0.324,0.0,1.0
0.076,0.324,0.0,1.0
0.078,0.324,0.0,1.0
0.08,0.324,0.0,1.0
0.082,0.324,0.0,1.0
0.084,0.324,0.0,1.0
0.08600000000000001,0.324,0.0,1.0
0.088,0.324,0.0,1.0
0.09,0.324,0.0,1.0
0.092,0.324,0.0,1.0
0.094,0.324,0.0,1.0
0.096,0.324,0.0,1.0
0.098,0.324,0.0,1.0
0.1,0.324,0.0,1.0
0.10200000000000001,0.324,0.0,1.0
0.10400000000000001,0.324,0.0,1.0
0.106,0.324,0.0,1.0
0.108,0.324,0.0,1.0
0.11,0.324,0.0,1.0
0.112,0.324,0.0,1.0
0.114,0.324,0.0,1.0
0.116,0.324,0.0,1.0
0.11800000000000001,0.324,0.0,1.0
0.12,0.324,0.0,1.0
0.122,0.324,0.0,1.0
0.124,0.324,0.0,1.0
0.126,0.324,0.0,1.0
0.128,0.324,0.0,1.0
0.13,0.324,0.0,1.0
0.132,0.324,0.0,1.0
0.134,0.324,0.0,1.0
0.136,0.324,0.0,1.0
