t_Gyr,a_D
-50.0,0.003
-49.97499374843711,0.07848057874479711
-49.94998749687422,0.12704999718939247
-49.92498124531133,0.16940984860503394
-49.89997499374844,0.20847412329529572
-49.874968742185544,0.24543952054432472
-49.84996249062266,0.28094542734329137
-49.824956239059766,0.3153851432057901
-49.79994998749687,0.34902351391601033
-49.77494373593398,0.38205067131129417
-49.749937484371095,0.4146098683648246
-49.7249312328082,0.4468132341695225
-49.69992498124531,0.47875128673636375
-49.67491872968242,0.5104990127531024
-49.64991247811953,0.5421199259462085
-49.62490622655664,0.5736688403870789
-49.59989997499375,0.6051938541864282
-49.574893723430854,0.6367377891335134
-49.54988747186797,0.6683392688389062
-49.524881220305076,0.7000335338900754
-49.49987496874218,0.7318530626151167
-49.4748687171793,0.7638280683148748
-49.449862465616405,0.7959868899184949
-49.42485621405351,0.8283563059571909
-49.39984996249062,0.8609617900230927
-49.374843710927735,0.8938277306682967
-49.34983745936484,0.9269775937455529
-49.32483120780195,0.9604340727927098
-49.29982495623906,0.9942192158887443
-49.27481870467617,1.0283545307120692
-49.24981245311328,1.0628610739953446
-49.224806201550386,1.0977595300641387
-49.199799949987494,1.1330702774769432
-49.17479369842461,1.1688134622777424
-49.149787446861716,1.2050090305731982
-49.12478119529882,1.241676793510387
-49.09977494373594,1.278836455572134
-49.074768692173045,1.3165076665185755
-49.04976244061015,1.3547100435519694
-49.02475618904726,1.393463213088375
-48.999749937484374,1.4327868324134332
-48.97474368592148,1.4727006210577827
-48.94973743435859,1.5132243832508447
-48.924731182795696,1.554378029335945
-48.89972493123281,1.5961816039959948
-48.87471867966992,1.6386553061807279
-48.849712428107026,1.6818194944480562
-48.82470617654413,1.7256947251521773
-48.79969992498125,1.7703017556267808
-48.774693673418355,1.8156615673199155
-48.74968742185546,1.8617953839747232
-48.72468117029257,1.9087246796004855
-48.699674918729684,1.956471203182887
-48.67466866716679,2.0050569866525736
-48.6496624156039,2.0545043623733683
-48.62465616404101,2.104835978597245
-48.59964991247812,2.156074809749206
-48.57464366091523,2.2082441746517425
-48.549637409352336,2.2613677461657384
-48.52463115778945,2.315469567911342
-48.49962490622656,2.37057406934238
-48.474618654663665,2.4267060772659352
-48.44961240310077,2.4838908236390367
-48.42460615153789,2.542153967174067
-48.399599899974994,2.601521604881393
-48.3745936484121,2.662020283828783
-48.34958739684921,2.723677014770037
-48.324581145286324,2.786519287002276
-48.29957489372343,2.850575081413936
-48.27456864216054,2.915872885517303
-48.249562390597646,2.9824417057146544
-48.22455613903476,3.0503110810122354
-48.19954988747187,3.119511098746605
-48.174543635908975,3.1900724109328475
-48.14953738434609,3.262026243823621
-48.1245311327832,3.3354044136428134
-48.099524881220304,3.4102393467907484
-48.07451862965741,3.486564091120623
-48.049512378094526,3.5644123284091638
-48.024506126531634,3.643818392788791
-47.99949987496874,3.7248172946791893
-47.97449362340585,3.807444722932153
-47.94948737184296,3.891737063254952
-47.92448112028007,3.9777314143125078
-47.89947486871718,4.065465622610558
-47.874468617154285,4.154978287203331
-47.8494623655914,4.246308766813123
-47.82445611402851,4.339497202168799
-47.799449862465615,4.434584540550162
-47.77444361090272,4.531612570693425
-47.74943735933984,4.6306239093522805
-47.724431107776944,4.731662028761841
-47.69942485621405,4.834771276145735
-47.674418604651166,4.939996919780952
-47.64941235308827,5.047385144637191
-47.62440610152538,5.156983065859458
-47.59939984996249,5.2688387539481765
-47.5743935983996,5.3830012687781625
-47.54938734683671,5.499520696135803
-47.52438109527382,5.618448130041603
-47.499374843710925,5.739835707766486
-47.47436859214804,5.863736636406736
-47.44936234058515,5.990205239115767
-47.424356089022254,6.11929696249766
-47.39934983745937,6.251068378880162
-47.374343585896476,6.385577222917752
-47.34933733433358,6.522882436027789
-47.32433108277069,6.663044199354126
-47.2993248312078,6.806123923819555
-47.27431857964491,6.9521842926021575
-47.24931232808202,7.101289288492914
-47.22430607651913,7.253504229350472
-47.19929982495624,7.4088957966608815
-47.17429357339335,7.56753205903286
-47.14928732183046,7.729482507069241
-47.124281070267564,7.894818085267298
-47.09927481870468,8.06361120591634
-47.074268567141786,8.235935789853384
-47.04926231557889,8.411867309354996
-47.024256064016,8.591482814818052
-46.999249812453115,8.774860968571753
-46.97424356089022,8.96208207767124
-46.94923730932733,9.153228130070657
-46.924231057764445,9.348382830707752
-46.89922480620155,9.54763163731798
-46.87421855463866,9.751061797807994
-46.84921230307577,9.95876239558236
-46.82420605151288,10.170824381594242
-46.79919979994999,10.38734061328607
-46.774193548387096,10.608405896230359
-46.7491872968242,10.834117025913143
-46.72418104526132,11.064572837639822
-46.699174793698425,11.299874241074495
-46.67416854213553,11.5401242647409
-46.64916229057264,11.785428101686149
-46.624156039009755,12.0358931563142
-46.59914978744686,12.291629100501593
-46.57414353588397,12.55274790921693
-46.54913728432108,12.819363912144091
-46.52413103275819,13.09159384364432
-46.4991247811953,13.36955689603239
-46.474118529632406,13.653374781002269
-46.44911227806952,13.943171767418487
-46.42410602650663,14.23907473975755
-46.399099774943735,14.541213253859418
-46.37409352338084,14.849719592941952
-46.34908727181796,15.164728826888584
-46.324081020255065,15.486378885694858
-46.29907476869217,15.814810601843778
-46.27406851712928,16.150167775428276
-46.249062265566394,16.492597239422683
-46.2240560140035,16.842248924411074
-46.19904976244061,17.19927592424501
-46.174043510877716,17.56383455559635
-46.14903725931483,17.93608443432563
-46.12403100775194,18.316188545875526
-46.099024756189046,18.704313315196202
-46.07401850462615,19.100628679874287
-46.04901225306327,19.505308164733496
-46.024006001500375,19.918528953195924
-45.99899974993748,20.340471968135443
-45.9739934983746,20.771321952935036
-45.948987246811704,21.211267550681217
-45.92398099524881,21.660501386614875
-45.89897474368592,22.119220152278558
-45.87396849212303,22.587624694084713
-45.84896224056014,23.06592010060806
-45.82395598899725,23.554315789652613
-45.798949737434356,24.053025601248326
-45.77394348587147,24.562267891081675
-45.74893723430858,25.082265625837017
-45.723930982745685,25.613246482994818
-45.69892473118279,26.15544295190899
-45.67391847961991,26.70909243033325
-45.648912228057014,27.2744373304317
-45.62390597649412,27.85172518468162
-45.59889972493123,28.44120875390259
-45.573893473368344,29.043146139810222
-45.54888722180545,29.65780090221666
-45.52388097024256,30.285442165988673
-45.49887471867967,30.92634474167386
-45.47386846711678,31.580789245780757
-45.44886221555389,32.24906222327289
-45.423855963990995,32.93145627412776
-45.39884971242811,33.628270187568425
-45.37384346086522,34.33980906352485
-45.348837209302324,35.06638444845998
-45.32383095773943,35.80831447209494
-45.298824706176546,36.56592398630327
-45.273818454613654,37.33954470815792
-45.24881220305076,38.12951537528413
-45.223805951487876,38.93618187990422
-45.19879969992498,39.759897422120886
-45.17379344836209,40.60102266580652
-45.1487871967992,41.459925895802236
-45.123780945236305,42.336983178277585
-45.09877469367342,43.23257852429956
-45.07376844211053,44.147104070334116
-45.048762190547635,45.08096026409747
-45.02375593898475,46.034555998991834
-44.998749687421856,47.008308809833736
-44.973743435858964,48.00264505571415
-44.94873718429607,49.01800010580898
-44.923730932733186,50.05481852892388
-44.89872468117029,51.11355428735484
-44.8737184296074,52.194670965985054
-44.84871217804451,53.29864195071179
-44.82370592648162,54.425950621288244
-44.79869967491873,55.5770905746167
-44.77369342335584,56.75256583996914
-44.74868717179295,57.95289109854949
-44.72368092023006,59.178591907460124
-44.69867466866717,60.43020493536646
-44.673668417104274,61.70827823473853
-44.64866216554138,63.01337142440987
-44.623655913978496,64.34605594768777
-44.5986496624156,65.70691532681742
-44.57364341085271,67.09654541730963
-44.548637159289825,68.51555466738878
-44.52363090772693,69.96456438263469
-44.49862465616404,71.44420902263721
-44.47361840460115,72.9551364905318
-44.44861215303826,74.4980083584072
-44.42360590147537,76.07350018329768
-44.39859964991248,77.68230180225572
-44.373593398349584,79.32511763294836
-44.3485871467867,81.00266698029155
-44.323580895223806,82.7156843511985
-44.29857464366091,84.46491982898351
-44.27356839209803,86.25113934927455
-44.248562140535135,88.07512502335808
-44.22355588897224,89.93767549617779
-44.19854963740935,91.83960629453503
-44.17354338584646,93.78175018230382
-44.14853713428357,95.76495752276857
-44.12353088272068,97.79009666418673
-44.09852463115779,99.85805437511513
-44.0735183795949,101.96973613663967
-44.04851212803201,104.1260665667269
-44.023505876469116,106.32798982952023
-43.99849962490622,108.57647004684966
-43.97349337334334,110.87249171801693
-43.948487121780445,113.21706014798748
-43.92348087021755,115.61120193574632
-43.89847461865466,118.05596542204081
-43.873468367091775,120.55242107048007
-43.84846211552888,123.10166197537299
-43.82345586396599,125.70480433850975
-43.798449612403104,128.3629879554886
-43.77344336084021,131.07737671181016
-43.74843710927732,133.84915909475848
-43.723430857714426,136.67954880263113
-43.69842460615154,139.5697851736916
-43.67341835458865,142.5211337259742
-43.648412103025755,145.53488673161308
-43.62340585146286,148.61236378022153
-43.59839959989998,151.75491235361685
-43.573393348337085,154.96390841207173
-43.54838709677419,158.24075702600447
-43.5233808452113,161.58689306712125
-43.498374593648414,165.00378168275864
-43.47336834208552,168.49291898998916
-43.44836209052263,172.05583273447263
