t_Myr,M_base_Msun,M_rB_up20,M_rB_down20,M_lambdaEdd4
3.063063063063063418e-01,2.397297297297297511e+06,2.856756756756756920e+06,1.937837837837838102e+06,3.163063063063063193e+06
3.233233233233233639e-01,2.524924924924924970e+06,3.009909909909910057e+06,2.039939939939940348e+06,3.333233233233233448e+06
3.403403403403403860e-01,2.652552552552552894e+06,3.163063063063063193e+06,2.142042042042042129e+06,3.503403403403403703e+06
3.573573573573574080e-01,2.780180180180180352e+06,3.316216216216216329e+06,2.244144144144144841e+06,3.673573573573574424e+06
3.743743743743744301e-01,2.907807807807808276e+06,3.469369369369369466e+06,2.346246246246246621e+06,3.843743743743743747e+06
3.913913913913914522e-01,3.035435435435435735e+06,3.622522522522525862e+06,2.448348348348348867e+06,4.013913913913914934e+06
4.084084084084084187e-01,3.163063063063063193e+06,3.775675675675677136e+06,2.550450450450450648e+06,4.184084084084084257e+06
4.254254254254254408e-01,3.290690690690690652e+06,3.928828828828832135e+06,2.652552552552552894e+06,4.354254254254255444e+06
4.424424424424424629e-01,3.418318318318318576e+06,4.081981981981983408e+06,2.754654654654654674e+06,4.524424424424424767e+06
4.594594594594594850e-01,3.545945945945946500e+06,4.235135135135136545e+06,2.856756756756756920e+06,4.694594594594595954e+06
4.764764764764765070e-01,3.673573573573572561e+06,4.388288288288291544e+06,2.958858858858859167e+06,4.864764764764765278e+06
4.934934934934935291e-01,3.801201201201202348e+06,4.541441441441444680e+06,3.060960960960961878e+06,5.034934934934936464e+06
5.105105105105105512e-01,3.928828828828828409e+06,4.694594594594597816e+06,3.163063063063064590e+06,5.205105105105105788e+06
5.275275275275276288e-01,4.056456456456456333e+06,4.847747747747749090e+06,3.265165165165165439e+06,5.375275275275276974e+06
5.445445445445445953e-01,4.184084084084086120e+06,5.000900900900902227e+06,3.367267267267269082e+06,5.545445445445446298e+06
5.615615615615615619e-01,4.311711711711710319e+06,5.154054054054055363e+06,3.469369369369369932e+06,5.715615615615616553e+06
5.785785785785786395e-01,4.439339339339340106e+06,5.307207207207209431e+06,3.571471471471473575e+06,5.885785785785787739e+06
5.955955955955956060e-01,4.566966966966967098e+06,5.460360360360362567e+06,3.673573573573574424e+06,6.055955955955957063e+06
6.126126126126126836e-01,4.694594594594595022e+06,5.613513513513515703e+06,3.775675675675676204e+06,6.226126126126128249e+06
6.296296296296296502e-01,4.822222222222222947e+06,5.766666666666667908e+06,3.877777777777778916e+06,6.396296296296297573e+06
6.466466466466467278e-01,4.949849849849850871e+06,5.919819819819821976e+06,3.979879879879881628e+06,6.566466466466468759e+06
6.636636636636636943e-01,5.077477477477477863e+06,6.072972972972975112e+06,4.081981981981983408e+06,6.736636636636637151e+06
6.806806806806807719e-01,5.205105105105107650e+06,6.226126126126128249e+06,4.184084084084086120e+06,6.906806806806809269e+06
6.976976976976977385e-01,5.332732732732732780e+06,6.379279279279280454e+06,4.286186186186186969e+06,7.076976976976977661e+06
7.147147147147148161e-01,5.460360360360360704e+06,6.532432432432434522e+06,4.388288288288289681e+06,7.247147147147148848e+06
7.317317317317317826e-01,5.587987987987987697e+06,6.685585585585587658e+06,4.490390390390391462e+06,7.417317317317318171e+06
7.487487487487488602e-01,5.715615615615616553e+06,6.838738738738741726e+06,4.592492492492494173e+06,7.587487487487489358e+06
7.657657657657658268e-01,5.843243243243243545e+06,6.991891891891892999e+06,4.694594594594596885e+06,7.757657657657659613e+06
7.827827827827829044e-01,5.970870870870872401e+06,7.145045045045047067e+06,4.796696696696698666e+06,7.927827827827829868e+06
7.997997997997998709e-01,6.098498498498499393e+06,7.298198198198200203e+06,4.898798798798800446e+06,8.097997997998000123e+06
8.168168168168168375e-01,6.226126126126126386e+06,7.451351351351353340e+06,5.000900900900902227e+06,8.268168168168169446e+06
8.338338338338339151e-01,6.353753753753754310e+06,7.604504504504507408e+06,5.103003003003004007e+06,8.438338338338341564e+06
8.508508508508508816e-01,6.481381381381381303e+06,7.757657657657658681e+06,5.205105105105107650e+06,8.608508508508510888e+06
8.678678678678679592e-01,6.609009009009010158e+06,7.910810810810812749e+06,5.307207207207209431e+06,8.778678678678680211e+06
8.848848848848849258e-01,6.736636636636637151e+06,8.063963963963965885e+06,5.409309309309310280e+06,8.948848848848849535e+06
9.019019019019020034e-01,6.864264264264265075e+06,8.217117117117119953e+06,5.511411411411412992e+06,9.119019019019022584e+06
9.189189189189189699e-01,6.991891891891892999e+06,8.370270270270272158e+06,5.613513513513514772e+06,9.289189189189191908e+06
9.359359359359360475e-01,7.119519519519519992e+06,8.523423423423424363e+06,5.715615615615617484e+06,9.459359359359361231e+06
9.529529529529530141e-01,7.247147147147146985e+06,8.676576576576579362e+06,5.817717717717719264e+06,9.629529529529530555e+06
9.699699699699700917e-01,7.374774774774775840e+06,8.829729729729732499e+06,5.919819819819821976e+06,9.799699699699701741e+06
9.869869869869870582e-01,7.502402402402402833e+06,8.982882882882885635e+06,6.021921921921923757e+06,9.969869869869871065e+06
1.004004004004004136e+00,7.630030030030031689e+06,9.136036036036038771e+06,6.124024024024025537e+06,1.014004004004004225e+07
1.021021021021021102e+00,7.757657657657658681e+06,9.289189189189191908e+06,6.226126126126128249e+06,1.031021021021021158e+07
1.038038038038038069e+00,7.885285285285285674e+06,9.442342342342343181e+06,6.328228228228230029e+06,1.048038038038038090e+07
1.055055055055055258e+00,8.012912912912914529e+06,9.595495495495498180e+06,6.430330330330332741e+06,1.065055055055055395e+07
1.072072072072072224e+00,8.140540540540541522e+06,9.748648648648651317e+06,6.532432432432434522e+06,1.082072072072072327e+07
1.089089089089089191e+00,8.268168168168169446e+06,9.901801801801804453e+06,6.634534534534536302e+06,1.099089089089089260e+07
1.106106106106106157e+00,8.395795795795796439e+06,1.005495495495495573e+07,6.736636636636638083e+06,1.116106106106106192e+07
1.123123123123123124e+00,8.523423423423424363e+06,1.020810810810810886e+07,6.838738738738739863e+06,1.133123123123123311e+07
1.140140140140140312e+00,8.651051051051052287e+06,1.036126126126126386e+07,6.940840840840843506e+06,1.150140140140140429e+07
1.157157157157157279e+00,8.778678678678680211e+06,1.051441441441441700e+07,7.042942942942944355e+06,1.167157157157157362e+07
1.174174174174174246e+00,8.906306306306306273e+06,1.066756756756756827e+07,7.145045045045046136e+06,1.184174174174174294e+07
1.191191191191191212e+00,9.033933933933934197e+06,1.082072072072072141e+07,7.247147147147148848e+06,1.201191191191191413e+07
1.208208208208208401e+00,9.161561561561563984e+06,1.097387387387387641e+07,7.349249249249251559e+06,1.218208208208208531e+07
1.225225225225225367e+00,9.289189189189191908e+06,1.112702702702702954e+07,7.451351351351353340e+06,1.235225225225225464e+07
1.242242242242242334e+00,9.416816816816817969e+06,1.128018018018018268e+07,7.553453453453455120e+06,1.252242242242242396e+07
1.259259259259259300e+00,9.544444444444445893e+06,1.143333333333333582e+07,7.655555555555556901e+06,1.269259259259259515e+07
1.276276276276276489e+00,9.672072072072073817e+06,1.158648648648648895e+07,7.757657657657660544e+06,1.286276276276276633e+07
1.293293293293293456e+00,9.799699699699701741e+06,1.173963963963964209e+07,7.859759759759761393e+06,1.303293293293293566e+07
1.310310310310310422e+00,9.927327327327327803e+06,1.189279279279279523e+07,7.961861861861864105e+06,1.320310310310310498e+07
1.327327327327327389e+00,1.005495495495495573e+07,1.204594594594594836e+07,8.063963963963964954e+06,1.337327327327327617e+07
1.344344344344344577e+00,1.018258258258258551e+07,1.219909909909910150e+07,8.166066066066068597e+06,1.354344344344344735e+07
1.361361361361361544e+00,1.031021021021021158e+07,1.235225225225225464e+07,8.268168168168170378e+06,1.371361361361361668e+07
1.378378378378378510e+00,1.043783783783783950e+07,1.250540540540540777e+07,8.370270270270272158e+06,1.388378378378378600e+07
1.395395395395395477e+00,1.056546546546546742e+07,1.265855855855856091e+07,8.472372372372373939e+06,1.405395395395395719e+07
1.412412412412412444e+00,1.069309309309309348e+07,1.281171171171171218e+07,8.574474474474476650e+06,1.422412412412412837e+07
1.429429429429429632e+00,1.082072072072072327e+07,1.296486486486486718e+07,8.676576576576579362e+06,1.439429429429429956e+07
1.446446446446446599e+00,1.094834834834834933e+07,1.311801801801802032e+07,8.778678678678680211e+06,1.456446446446446888e+07
